DATE,SPCS20RSA
2016-05-01,187.42937168544998
2016-06-01,188.07211698870302
2016-07-01,188.760005462616
2016-08-01,189.55662835931702
2016-09-01,190.377656791728
2016-10-01,191.275181473744
2016-11-01,192.493040604272
2016-12-01,193.78125494997397
2017-01-01,195.041515055176
2017-02-01,195.857457085531
2017-03-01,196.56621537604198
2017-04-01,197.217589837929
2017-05-01,198.01923651573998
2017-06-01,198.77745276574902
2017-07-01,199.97297948470901
2017-08-01,200.94743243476898
2017-09-01,202.34306773290902
2017-10-01,203.51225041353
2017-11-01,204.809750653461
2017-12-01,205.96795894262002
2018-01-01,207.378810667817
2018-02-01,208.750403271073
2018-03-01,209.38380385904702
2018-04-01,209.888708241876
2018-05-01,210.550354184739
2018-06-01,211.24662644504903
2018-07-01,211.831658109073
2018-08-01,212.289743623668
