DATE,SPCS20RSA
2000-01-01,100.589696577993
2000-02-01,101.692479157813
2000-03-01,102.78382837460501
2000-04-01,103.996444306204
2000-05-01,105.25281817009301
2000-06-01,106.402524174498
2000-07-01,107.134018981206
2000-08-01,107.861438253296
2000-09-01,108.610139943353
2000-10-01,109.486858747192
2000-11-01,110.571707189382
2000-12-01,111.80087172365101
2001-01-01,113.053497815625
2001-02-01,114.126857725809
2001-03-01,115.085195599734
2001-04-01,115.84055076830799
2001-05-01,116.30074273743901
2001-06-01,116.899750325119
2001-07-01,117.496601096715
2001-08-01,118.245228684515
2001-09-01,119.027952768518
2001-10-01,119.69404795866998
2001-11-01,120.274743157153
2001-12-01,120.672263936283
2002-01-01,121.36032035020399
2002-02-01,122.190820482601
2002-03-01,123.32147011937
2002-04-01,124.507760430508
2002-05-01,125.924465975602
2002-06-01,127.38847463841499
2002-07-01,128.879588554225
2002-08-01,130.307278620259
2002-09-01,131.526921151294
2002-10-01,132.846631569806
2002-11-01,134.096964753486
2002-12-01,135.405259797191
2003-01-01,136.46679708816
2003-02-01,137.452827911309
2003-03-01,138.37881754216298
2003-04-01,139.250048288089
2003-05-01,140.146997039648
2003-06-01,140.91971875478998
2003-07-01,142.118878799712
2003-08-01,143.551839226782
2003-09-01,145.261272693538
2003-10-01,146.990457305003
2003-11-01,148.822919049497
2003-12-01,150.758971314683
2004-01-01,152.625089396996
2004-02-01,154.536526472507
2004-03-01,156.91821900384
2004-04-01,159.359635893404
2004-05-01,161.75116597666099
2004-06-01,164.305468860466
2004-07-01,166.387175059584
2004-08-01,168.071561514009
2004-09-01,169.654297996414
2004-10-01,171.297006430946
2004-11-01,173.086887708748
2004-12-01,175.086093043956
2005-01-01,177.54607858115003
2005-02-01,180.249477786433
2005-03-01,183.18796357728402
2005-04-01,185.51473131930697
2005-05-01,187.549782067912
2005-06-01,189.53035547449298
2005-07-01,191.379259136484
2005-08-01,193.367466139888
2005-09-01,195.62007505911498
2005-10-01,197.882967468265
2005-11-01,200.148276285012
2005-12-01,202.177239074689
2006-01-01,203.77137487744
2006-02-01,205.362927667575
2006-03-01,206.14657493172797
2006-04-01,206.65610828509102
2006-05-01,206.509886357045
2006-06-01,205.807363431519
2006-07-01,204.936431653606
2006-08-01,204.111548857496
2006-09-01,203.585555507927
2006-10-01,203.549503823774
2006-11-01,203.652970815692
2006-12-01,203.47533524915298
2007-01-01,203.74287657789398
2007-02-01,204.07068914503003
2007-03-01,203.948389480586
2007-04-01,202.88104822495498
2007-05-01,201.03375101114
2007-06-01,198.847206395624
2007-07-01,196.844519972298
2007-08-01,194.892776136182
2007-09-01,193.124941371605
2007-10-01,190.97972267481398
2007-11-01,187.905129242132
2007-12-01,185.09993274548
2008-01-01,182.140032970916
2008-02-01,178.550495832745
2008-03-01,175.114363030702
2008-04-01,172.44277031446302
2008-05-01,169.560560480645
2008-06-01,167.177730864784
2008-07-01,164.399644770605
2008-08-01,162.115862296841
2008-09-01,159.11468141417402
2008-10-01,156.296736214461
2008-11-01,153.659297520766
2008-12-01,150.727757789653
2009-01-01,147.715691953095
2009-02-01,145.612899403018
2009-03-01,142.719934147382
2009-04-01,141.559758789428
2009-05-01,140.841812008053
2009-06-01,141.290874484266
2009-07-01,142.249851980459
2009-08-01,143.47666226056802
2009-09-01,144.07228371795
2009-10-01,144.796025811073
2009-11-01,145.47415622941298
2009-12-01,146.247557306486
2010-01-01,146.932037158868
2010-02-01,146.910110412114
2010-03-01,146.228503183533
2010-04-01,147.061231482511
2010-05-01,147.269570564556
2010-06-01,147.040022383381
2010-07-01,146.405663698533
2010-08-01,145.543724477066
2010-09-01,144.554659559074
2010-10-01,143.62671005509702
2010-11-01,143.282220965015
2010-12-01,142.967321171745
2011-01-01,142.590224529052
2011-02-01,142.038114938441
2011-03-01,140.423610731901
2011-04-01,140.68841050453997
2011-05-01,140.424737217559
2011-06-01,140.359024257498
2011-07-01,140.324522654889
2011-08-01,140.05063565892098
2011-09-01,139.424023213253
2011-10-01,138.659856671126
2011-11-01,137.943140932386
2011-12-01,137.373151572795
2012-01-01,137.14615635267
2012-02-01,136.993642798588
2012-03-01,136.621817897621
2012-04-01,137.873878894025
2012-05-01,139.450026875107
2012-06-01,141.017860414962
2012-07-01,141.965086826477
2012-08-01,142.95234142566798
2012-09-01,143.82966367998
2012-10-01,144.807671816175
2012-11-01,145.812775666562
2012-12-01,147.112307184795
2013-01-01,148.330906210268
2013-02-01,149.569494380182
2013-03-01,150.964856750199
2013-04-01,153.855340782258
2013-05-01,156.002333136924
2013-06-01,157.830758313368
2013-07-01,159.60467731336598
2013-08-01,161.554165853738
2013-09-01,163.290484421986
2013-10-01,164.810300647445
2013-11-01,166.019765857001
2013-12-01,166.91691968472298
2014-01-01,167.860316487679
2014-02-01,168.471854903338
2014-03-01,169.1825834657
2014-04-01,169.926016358956
2014-05-01,170.229719725128
2014-06-01,170.530703705715
2014-07-01,170.639813174049
2014-08-01,170.960026473688
2014-09-01,171.481913353991
2014-10-01,172.408904824626
2014-11-01,173.175508393166
2014-12-01,174.206466331481
2015-01-01,175.055194199636
2015-02-01,176.288419071903
2015-03-01,176.963227876538
2015-04-01,177.709961886681
2015-05-01,178.286431948725
2015-06-01,178.839742007297
2015-07-01,179.39139266186402
2015-08-01,179.99761525671298
2015-09-01,180.921395689174
2015-10-01,181.921366297251
2015-11-01,183.011586000239
2015-12-01,183.848018480421
2016-01-01,184.691536323717
2016-02-01,185.33491523856497
2016-03-01,186.086822289553
2016-04-01,186.916258471191
